,ones,Mkt-RF,SMB,HML,MOM
1963-07-01,1,-0.39,-0.46,-0.82,0.99
1963-08-01,1,5.07,-0.85,1.63,1.08
1963-09-01,1,-1.57,-0.5,0.19,0.13
1963-10-01,1,2.53,-1.3,-0.11,3.14
1963-11-01,1,-0.85,-0.83,1.66,-0.75
1963-12-01,1,1.83,-1.87,-0.11,1.7
1964-01-01,1,2.24,0.12,1.64,1.06
1964-02-01,1,1.54,0.3,2.83,0.25
1964-03-01,1,1.41,1.43,3.36,0.71
1964-04-01,1,0.1,-1.52,-0.42,-0.59
1964-05-01,1,1.42,-0.69,1.88,2.54
1964-06-01,1,1.27,0.05,0.72,0.47
1964-07-01,1,1.74,0.47,0.7,-0.32
1964-08-01,1,-1.44,0.3,0.12,-0.2
1964-09-01,1,2.69,-0.31,1.65,-0.38
1964-10-01,1,0.59,0.91,1.14,0.13
1964-11-01,1,0.0,-0.28,-1.96,1.1
1964-12-01,1,0.03,-0.56,-2.58,-0.71
1965-01-01,1,3.54,2.48,0.2,-1.3
1965-02-01,1,0.44,3.3,0.19,0.28
1965-03-01,1,-1.34,2.02,1.07,0.09
1965-04-01,1,3.11,1.19,0.7,2.54
1965-05-01,1,-0.77,0.04,-1.61,0.53
1965-06-01,1,-5.51,-4.31,0.58,-3.13
1965-07-01,1,1.43,1.04,2.22,4.09
1965-08-01,1,2.73,2.74,-1.07,2.58
1965-09-01,1,2.86,0.6,-0.11,3.32
1965-10-01,1,2.6,3.41,1.6,3.44
1965-11-01,1,-0.03,5.22,0.23,4.41
1965-12-01,1,1.01,2.68,2.08,0.15
1966-01-01,1,0.72,4.67,3.57,5.43
1966-02-01,1,-1.21,4.79,0.36,4.54
1966-03-01,1,-2.51,0.24,-2.05,1.35
1966-04-01,1,2.14,3.37,-0.45,6.21
1966-05-01,1,-5.66,-5.15,-1.65,-4.73
1966-06-01,1,-1.44,1.38,0.49,3.31
1966-07-01,1,-1.63,-0.35,0.82,-1.41
1966-08-01,1,-7.91,-3.06,0.56,-2.08
1966-09-01,1,-1.06,-1.12,0.5,-1.77
1966-10-01,1,3.86,-6.46,2.81,-5.13
1966-11-01,1,1.4,3.49,-4.6,5.73
1966-12-01,1,0.13,1.95,-1.29,1.07
1967-01-01,1,8.15,9.08,2.03,-6.75
1967-02-01,1,0.78,3.09,-2.26,3.56
1967-03-01,1,3.99,2.0,0.19,1.43
1967-04-01,1,3.89,0.45,-2.54,0.62
1967-05-01,1,-4.33,2.36,0.89,0.59
1967-06-01,1,2.41,6.52,0.95,6.04
1967-07-01,1,4.58,3.23,2.65,-1.09
1967-08-01,1,-0.89,0.74,1.46,-1.41
1967-09-01,1,3.11,2.38,-2.46,2.55
1967-10-01,1,-3.09,0.49,-3.38,3.66
1967-11-01,1,0.37,0.0,-1.71,1.29
1967-12-01,1,3.05,5.72,-0.39,3.23
1968-01-01,1,-4.06,4.52,4.77,-4.64
1968-02-01,1,-3.75,-2.92,1.17,-3.4
1968-03-01,1,0.2,-1.58,-0.59,3.18
1968-04-01,1,9.05,6.19,-1.02,5.15
1968-05-01,1,2.28,6.95,0.85,3.73
1968-06-01,1,0.69,-0.26,0.68,-1.92
1968-07-01,1,-2.72,-1.37,5.48,-0.85
1968-08-01,1,1.34,2.29,1.01,1.88
1968-09-01,1,4.03,2.8,0.26,-0.66
1968-10-01,1,0.42,-0.44,2.91,-1.52
1968-11-01,1,5.43,2.43,-0.9,1.73
